Weather and Climate Billion-Dollar Disasters to affect North Carolina from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Central/Eastern Drought/Heat Wave (Summer-Fall 1980)",Drought,19800601,19801130,40480.8,10020,1260
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Southeast Drought (Summer 1983)",Drought,19830601,19830831,9544.4,2964.1,0
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1851.6,603.1,80
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2493.7,836.9,150
"Hurricane Gloria (September 1985)",Tropical Cyclone,19850926,19850928,2482.9,856.1,11
"Southeast Drought/Heat Wave (Summer 1986)",Drought,19860601,19860831,5176.4,1803.6,100
"Southern Derecho and Severe Storms (May 1989)",Severe Storm,19890501,19890506,1401,551.5,21
"Hurricane Hugo (September 1989)",Tropical Cyclone,19890921,19890922,22679.7,8999.9,86
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1693.8,680,100
"Severe Storms, Tornadoes (March 1991)",Severe Storm,19910326,19910329,1503.1,645,0
"Hurricane Bob (August 1991)",Tropical Cyclone,19910818,19910820,3456.7,1502.9,18
"Southeast Severe Weather (November 1992)",Severe Storm,19921121,19921123,1458.5,657,26
"East Coast Blizzard and Severe Weather (March 1993)",Winter Storm,19930311,19930314,12159.4,5527,270
"Southeast Drought and Heat Wave (Summer 1993)",Drought,19930601,19930831,2780.2,1258,16
"Winter Storm, Cold Wave (January 1994)",Winter Storm,19940117,19940120,2236.3,1040,70
"Southeast Ice Storm (February 1994)",Winter Storm,19940208,19940213,6414.5,2997.5,9
"Hurricane Opal (October 1995)",Tropical Cyclone,19951004,19951006,9612.5,4689,27
"Blizzard/Floods (January 1996)",Winter Storm,19960101,19960131,6126.2,3003,187
"Hurricane Fran (September 1996)",Tropical Cyclone,19960905,19960908,9963.9,5007,37
"Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)",Severe Storm,19970228,19970305,1925.8,977.5,67
"Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)",Severe Storm,19971201,19980228,1958.8,1004.5,132
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,19980530,19980602,2197.3,1138.4,20
"Hurricane Bonnie (August 1998)",Tropical Cyclone,19980827,19980829,1881.6,980,3
"Southern Drought and Heat Wave (Summer 1998)",Drought,19980601,19980831,6879.7,3528,200
"Central and Eastern Winter Storm (January 1999)",Winter Storm,19990101,19990104,1972.1,1032.5,25
"Oklahoma and Kansas Tornadoes (May 1999)",Severe Storm,19990503,19990506,3802.9,2012.1,55
"Eastern Drought/Heat Wave (Summer 1999)",Drought,19990601,19990831,4772.8,2498.9,502
"Hurricane Floyd (September 1999)",Tropical Cyclone,19990914,19990916,12138.1,6491,77
"Southeast Winter Storm (January 2000)",Winter Storm,20000121,20000124,1313.2,706,4
"Severe Storms and Tornadoes (April 2002)",Severe Storm,20020427,20020428,3663.9,2093.8,7
"U.S. Drought (Spring-Fall 2002)",Drought,20020301,20021130,16031.6,9006.4,0
"Severe Storms/Tornadoes (May 2003)",Severe Storm,20030503,20030510,7059.5,4128.4,51
